Block,Price Oracle 0,Price Oracle 1,Price Scale 0,Price Scale 1,Fee,VP,A,Gamma,Fee_Gamma,D,lp_price,xcp_profit,xcp_profit_a
8619102,42548954486085600532396,2293859003513130789360,42532195677767811583535,2293607480697717006900,113174556,1003968445797776667,2264724,44967486449931,7200000000000,1360291519873938423495015,1386714235260927150861,1007814539545658542,1007814250898776035
8619629,42555825669497804711610,2293965141964062914678,42545550392280391995472,2293809584244717125149,111880834,1003967863508953611,2257195,45122590501889,7200000000000,1360476475776912500359645,1386815242699457039912,1007814424441478503,1007814417717642418
8620156,42566327028034707891656,2294124655018768851451,42545550392280391995472,2293809584244717125149,111880834,1003967863508953611,2249666,45277694553848,7200000000000,1360476475776912500359645,1386815242699457039912,1007814424441478503,1007814417717642418
8620683,42573402162341319679899,2294231577295307228871,42556584143548578169463,2293976803582132480060,110718907,1003967485014571045,2242138,45432798605806,7200000000000,1360626622943020025080152,1387007471289711591317,1007814489753331206,1007814417717642418
8621210,42589498795524291507118,2294477279390320776514,42574718630178449157240,2294251677523651131351,108735336,1003967165523037679,2234609,45587902657764,7200000000000,1360878280327779002064537,1387149865425406523339,1007814841644790811,1007814492374613695
8621737,42593561004705240829124,2294539397650172488374,42574718630178449157240,2294251677523651131351,108735336,1003967165523037679,2227081,45743006709722,7200000000000,1360878280327779002064537,1387149865425406523339,1007814841644790811,1007814492374613695
8622264,42594829820486202890477,2294557199473580607299,42578571219884754603543,2294310507810895608071,108244668,1003967062057095393,2219552,45898110761680,7200000000000,1360930819844076092394438,1387359602742571353949,1007814884882234761,1007814492374613695
8622791,42598710414769137890983,2294615660441211504744,42584519675391841400638,2294400595081944018475,107519401,1003966879733487413,2212023,46053214813639,7200000000000,1361011759325341880271286,1387374443514584018921,1007814926662740590,1007814492374613695
8623318,42602626415030660514905,2294675385263930599878,42596614885372909025622,2294583952753136426981,106076502,1003966490875427876,2204495,46208318865597,7200000000000,1361185889207684380267760,1387454868749348040533,1007814826722957028,1007814808808884568
8623845,42611616270124736125265,2294813243308601157875,42596614885372909025622,2294583952753136426981,106076502,1003966490875427876,2196966,46363422917555,7200000000000,1361185889207684380267760,1387454868749348040533,1007814826722957028,1007814808808884568
8624372,42616176665394258606075,2294883270327498765249,42606275390164857179377,2294731650317166466979,104815579,1003966179659123015,2189437,46518526969513,7200000000000,1361321205064814341495055,1387622705424389730994,1007814847453597759,1007814840594203381
8624899,42622363634894419817217,2295004918048666932163,42608337673054870630296,2294763234615335760210,105165916,1003966770021186567,2181909,46673631021471,7200000000000,1361350215092433054572831,1387673874405556891354,1007815514282354816,1007814840594203381
8625426,42631039165045456005752,2295245866277360814973,42620529113822043556650,2294986206398586666851,107569521,1003968738845043397,2174380,46828735073429,7200000000000,1361532031998367316697012,1387786640014799485156,1007816913573281434,1007816906143755443
8625953,42638227827680621422669,2295443384154918528708,42620529113822043556650,2294986206398586666851,107569521,1003968738845043397,2166851,46983839125388,7200000000000,1361532031998367316697012,1387786640014799485156,1007816913573281434,1007816906143755443
8626480,42639474762076044251183,2295477622002563054190,42624317589736861403907,2295084476217226151222,107104745,1003968605338809436,2159323,47138943177346,7200000000000,1361591624868994762816838,1388043281554376441501,1007816916904035042,1007816906143755443
8627007,42640883475359853738140,2295509341660831790112,42627503550056996398744,2295166249651214197010,106661078,1003968527235880787,2151794,47294047229304,7200000000000,1361641613508511736635799,1388054775044790962980,1007816953010920530,1007816906143755443
8627534,42651777438913603139587,2295788426921926788349,42637946272338411927165,2295433744973418564266,105426179,1003968270917230439,2144265,47449151281262,7200000000000,1361812432705455130004130,1388076851630969225778,1007817017060473457,1007817003694274662
8628061,42654395492312318581155,2295855590495043312817,42637946272338411927165,2295433744973418564266,105426179,1003968270917230439,2136737,47604255333220,7200000000000,1361812432705455130004130,1388076851630969225778,1007817017060473457,1007817003694274662
8628588,42658049922526705752810,2295948418262847963977,42646640426785505367621,2295656523386848141584,104220756,1003967997554644545,2129208,47759359385179,7200000000000,1361948673883551619759610,1388328279116197919316,1007817043786993598,1007817003694274662
8629115,42668596318241238567338,2296218682250206256067,42657096163011173422236,2295924084929380704231,102829056,1003967741297722038,2121679,47914463437137,7200000000000,1362118330202253033723865,1388438162619971349544,1007817101253523719,1007817082972371664
8629642,42670763793617720690116,2296274165676634690572,42657096163011173422236,2295924084929380704231,102829056,1003967741297722038,2114151,48069567489095,7200000000000,1362118330202253033723865,1388438162619971349544,1007817101253523719,1007817082972371664
8630169,42676507731106220809400,2296421359953256107956,42666001413990798180947,2296152193483538857467,101522070,1003967497516462454,2106622,48224671541053,7200000000000,1362257891900524005870244,1388582136673348060147,1007817151144858665,1007817082972371664
8630696,42684564868694864277423,2296628480397690020743,42674737084713381972564,2296376005838878539062,100291448,1003967309698891473,2099094,48379775593011,7200000000000,1362401552815671868240170,1388654860726912625606,1007817195409328861,1007817183428657014
8631223,42687857747590926544138,2296712686234833006890,42677134871055810146358,2296437618512550933211,99874186,1003967253518179581,2091565,48534879644970,7200000000000,1362439177447941213770204,1388797215839381685777,1007817215521427151,1007817183428657014
8631750,42688618567920542069058,2296731924386994146422,42677134871055810146358,2296437618512550933211,99874186,1003967253518179581,2084036,48689983696928,7200000000000,1362439177447941213770204,1388797215839381685777,1007817215521427151,1007817183428657014
8632277,42691098653538558227152,2296751407183719838886,42691431581574377542463,2296792188135418988669,36767716,1003968560147040308,2076508,48845087748886,7200000000000,1362668989626283621081104,1388875725430728236950,1007818731593384390,1007817255958198934
8632804,42689396897431008281060,2296612211106727652523,42689698742796978681527,2296639255032549236178,51702679,1003968824793745395,2068979,49000191800844,7200000000000,1362693442621530140557750,1388818137157062842995,1007818519909898070,1007818288842809065
8633331,42688052815268288139011,2296490820471798649104,42689698742796978681527,2296639255032549236178,51702679,1003968824793745395,2061450,49155295852802,7200000000000,1362693442621530140557750,1388818137157062842995,1007818519909898070,1007818288842809065
8633858,42687545865468758539591,2296445038578288155475,42688759447836535450538,2296554512000451982218,51181657,1003968979863932388,2053922,49310399904760,7200000000000,1362666898015047875325024,1388761897104692502470,1007818700447160882,1007818288842809065
8634385,42686941486731570678587,2296390465376838470482,42687598358132956899720,2296449778872229812215,50161854,1003968897614576964,2046393,49465503956719,7200000000000,1362639652093011618876216,1388749749513752478225,1007818530449836108,1007818524701352372
8634912,42685992404207474767677,2296304614661336705545,42687598358132956899720,2296449778872229812215,50161854,1003968897614576964,2038864,49620608008677,7200000000000,1362639652093011618876216,1388749749513752478225,1007818530449836108,1007818524701352372
